ident;type;name;elevation_ft;continent;iso_country;iso_region;municipality;gps_code;iata_code;local_code;coordinates1;coordinates2
LIMS;medium_airport;Piacenza San Damiano Air Base;456;EU;IT;IT-45;Piacenza;LIMS;;PC08;9,723322;44,913102
LIMW;medium_airport;Aosta Airport;1791;EU;IT;IT-23;Aosta;LIMW;AOT;AO01;7,36872;45,738499
LIMZ;medium_airport;Cuneo International Airport;1267;EU;IT;IT-21;Cuneo;LIMZ;CUF;CN03;7,62322;44,547001
LIPA;medium_airport;Aviano Air Base;410;EU;IT;IT-36;Aviano (PN);LIPA;AVB;PN07;12,596503;46,031898
LIPB;medium_airport;Bolzano Airport;789;EU;IT;IT-32;Bolzano;LIPB;BZO;BZ01;11,3264;46,460201
LIPC;medium_airport;Cervia Air Base;18;EU;IT;IT-45;Cervia;LIPC;;RA08;12,3072;44,224201
LIPE;large_airport;Bologna Guglielmo Marconi Airport;123;EU;IT;IT-45;Bologna;LIPE;BLQ;BO08;11,2887;44,5354
LIPH;large_airport;Treviso-Sant'Angelo Airport;59;EU;IT;IT-34;Treviso;LIPH;TSF;TV01;12,1944;45,648399
LIPI;medium_airport;Rivolto Air Base;179;EU;IT;IT-36;Codroipo;LIPI;;UD16;13,0493;45,978699
LIPK;medium_airport;ForlÃ¬ Airport;97;EU;IT;IT-45;ForlÃ¬ (FC);LIPK;FRL;FC03;12,0701;44,194801
LIPL;medium_airport;Ghedi Air Base;333;EU;IT;IT-25;Ghedi;LIPL;;BS12;10,2677;45,432201
LIPO;medium_airport;Brescia Airport;355;EU;IT;IT-25;Montichiari (BS);LIPO;VBS;BS04;10,3306;45,428902
LIPQ;medium_airport;TriesteâFriuli Venezia Giulia Airport;39;EU;IT;IT-36;Trieste;LIPQ;TRS;GO02;13,4722;45,827499
LIPR;medium_airport;Federico Fellini International Airport;40;EU;IT;IT-45;Rimini;LIPR;RMI;RN01;12,6117;44,020302
LIPS;medium_airport;Istrana Air Base;137;EU;IT;IT-34;Istrana;LIPS;;TV16;12,0829;45,684898
LIPU;medium_airport;Padova Airport;44;EU;IT;IT-34;Padova;LIPU;QPA;PD11;11,8479;45,395802
LIPX;large_airport;Verona Villafranca Airport;239;EU;IT;IT-34;Verona;LIPX;VRN;VR10;10,8885;45,395699
LIPY;medium_airport;Ancona Falconara Airport;49;EU;IT;IT-57;Ancona;LIPY;AOI;AN01;13,3623;43,616299
LIPZ;large_airport;Venice Marco Polo Airport;7;EU;IT;IT-34;Venice;LIPZ;VCE;VE05;12,3519;45,505299
LIQS;medium_airport;Siena-Ampugnano Airport;634;EU;IT;IT-52;Siena;LIQS;SAY;SI01;11,255;43,256302
LIQW;medium_airport;Sarzana-Luni Air Base;45;EU;IT;IT-42;Sarzana (SP);LIQW;QLP;SP01;9,98795;44,088001
LIRA;large_airport;CiampinoâG. B. Pastine International Airport;427;EU;IT;IT-62;Rome;LIRA;CIA;RM12;12,5949;41,7994
